symbol,price
USDTZAR,19.37
BUSDZAR,18.85
BTCBKRW,42029197.0
ETHBKRW,1277799.0
BNBBKRW,44687.0
WTCUSDT,0.0103
DATABUSD,0.02344
DATAUSDT,0.08947
XZCUSDT,4.446
SOLBNB,0.3001
SOLBTC,0.0021325
SOLUSDT,145.69
SOLBUSD,74.62
BTCIDRT,693891182.0
BNBIDRT,4286985.0
USDTIDRT,15749.0
BUSDIDRT,14389.0
CTSIBTC,5.59e-06
CTSIUSDT,0.3822
CTSIBNB,0.0007983
CTSIBUSD,0.1642
HIVEBNB,0.00429
HIVEBTC,6.37e-06
HIVEUSDT,0.4355
CHRBNB,0.0008822
CHRBTC,6.27e-06
CHRUSDT,0.4289
BTCUPUSDT,16.6
BTCDOWNUSDT,0.001185
GXSUSDT,1.7923
ARDRUSDT,0.121
ERDBUSD,0.019661
LENDUSDT,0.51431
HBARBUSD,0.0602
MATICBUSD,0.8659
WRXBUSD,0.1105
ZILBUSD,0.01583
MDTBNB,0.0007372
MDTBTC,1.83e-06
MDTUSDT,0.12526
STMXBTC,1.6e-07
STMXETH,2.92e-06
STMXUSDT,0.011094
KNCBUSD,0.637
KNCUSDT,0.8549
REPBUSD,13.673
REPUSDT,4.73
LRCBUSD,0.1728
LRCUSDT,0.3609
IQBNB,2.243e-05
IQBUSD,0.00502
PNTBTC,8.64e-06
PNTUSDT,0.2086
BTCGBP,35986.75
ETHGBP,1974.32
XRPGBP,0.5257
BNBGBP,267.4
GBPBUSD,1.239
DGBBTC,2.2e-07
DGBBUSD,0.00632
BTCUAH,3096272.0
USDTUAH,45.32
COMPBTC,0.001323
COMPBNB,5.719
COMPBUSD,45.79
COMPUSDT,90.56
BTCBIDR,1073741790.0
ETHBIDR,61063256.0
BNBBIDR,3335250.0
BUSDBIDR,15559.0
USDTBIDR,15766.0
BKRWUSDT,0.0008453
BKRWBUSD,0.0008455
SCUSDT,0.009584
ZENUSDT,12.89
SXPBTC,7.38e-06
SXPBNB,0.00104
SXPBUSD,0.3721
SNXBTC,6.333e-05
SNXBNB,0.01057
SNXBUSD,1.936
SNXUSDT,4.329
ETHUPUSDT,11.651
ETHDOWNUSDT,0.0457
ADAUPUSDT,0.104
ADADOWNUSDT,0.001917
LINKUPUSDT,0.00608
LINKDOWNUSDT,0.000895
VTHOBNB,6.73e-06
VTHOBUSD,0.000718
VTHOUSDT,0.004644
DCRBUSD,16.035
DGBUSDT,0.01532
GBPUSDT,1.18
STORJBUSD,0.2371
SXPUSDT,0.5042
IRISBNB,0.001662
IRISBTC,6.1e-07
IRISBUSD,0.0608
MKRBNB,6.903
MKRBTC,0.03482
MKRUSDT,2382.0
MKRBUSD,1293.0
DAIBNB,0.04876
DAIBTC,8.966e-05
DAIUSDT,1.0189
DAIBUSD,1.0181
RUNEBNB,0.015842
RUNEBTC,0.000113
RUNEBUSD,5.462
MANABUSD,0.4388
DOGEBUSD,0.09742
LENDBUSD,0.5153
ZRXBUSD,0.1689
DCRUSDT,28.02
STORJUSDT,0.8655
XRPBKRW,319.76
ADABKRW,327.55
BTCAUD,37210.08
ETHAUD,2565.09
