symbol,price
EOSBUSD,0.63400000
IOTXUSDT,0.07008000
RLCUSDT,4.42200000
MCOUSDT,2.74400000
XLMBUSD,0.11970000
ADABUSD,0.63740000
CTXCBNB,0.00412200
CTXCBTC,0.00001202
CTXCUSDT,0.82100000
BCHBNB,0.88800000
BCHBTC,0.00634100
BCHUSDT,433.70000000
BCHUSDC,114.80000000
BCHTUSD,432.50000000
BCHPAX,617.72000000
BCHBUSD,236.00000000
BTCRUB,3900027.00000000
ETHRUB,181477.60000000
XRPRUB,56.31000000
BNBRUB,22422.22000000
TROYBNB,0.00001060
TROYBTC,0.00000018
TROYUSDT,0.00324300
BUSDRUB,90.39000000
QTUMBUSD,2.53700000
VETBUSD,0.02120000
VITEBNB,0.00070700
VITEBTC,0.00000049
VITEUSDT,0.03369000
FTTBNB,0.00513000
FTTBTC,0.00008560
FTTUSDT,2.44810000
BTCTRY,2244871.00000000
BNBTRY,15974.00000000
BUSDTRY,29.33000000
ETHTRY,128715.00000000
XRPTRY,20.45000000
USDTTRY,32.80000000
USDTRUB,91.10000000
BTCEUR,62722.25000000
ETHEUR,3595.75000000
BNBEUR,446.50000000
XRPEUR,0.57150000
EURBUSD,1.07570000
EURUSDT,1.09080000
OGNBNB,0.00038300
OGNBTC,0.00000344
OGNUSDT,0.23520000
DREPBNB,0.00009380
DREPBTC,0.00000458
DREPUSDT,0.31370000
BULLUSDT,1370.28000000
BULLBUSD,1368.56000000
BEARUSDT,11.16000000
BEARBUSD,11.14000000
ETHBULLUSDT,79.18000000
ETHBULLBUSD,78.46000000
ETHBEARUSDT,12.20000000
ETHBEARBUSD,12.24000000
TCTBNB,0.00041860
TCTBTC,0.00000016
TCTUSDT,0.00312000
WRXBNB,0.00039800
WRXBTC,0.00000455
WRXUSDT,0.33950000
ICXBUSD,0.16420000
BTSUSDT,0.00540000
BTSBUSD,0.01930000
LSKUSDT,2.17600000
BNTUSDT,0.96740000
BNTBUSD,0.35990000
LTOBNB,0.00248000
LTOBTC,0.00000182
LTOUSDT,0.12480000
ATOMBUSD,11.21900000
DASHBUSD,25.83000000
NEOBUSD,6.73000000
WAVESBUSD,2.21600000
XTZBUSD,0.67100000
EOSBULLUSDT,3.85000000
EOSBULLBUSD,3.90000000
EOSBEARUSDT,30.21000000
EOSBEARBUSD,29.81000000
XRPBULLUSDT,8.74000000
XRPBULLBUSD,8.78000000
XRPBEARUSDT,548.55000000
XRPBEARBUSD,547.33000000
BATBUSD,0.17090000
ENJBUSD,0.26070000
NANOBUSD,2.22500000
ONTBUSD,0.15740000
RVNBUSD,0.01525000
STRATBUSD,0.49150000
STRATBNB,0.01900000
STRATUSDT,0.49040000
AIONBUSD,0.07210000
AIONUSDT,0.00943000
MBLBNB,0.00001202
MBLBTC,0.00000005
MBLUSDT,0.00624100
COTIBNB,0.00021230
COTIBTC,0.00000360
COTIUSDT,0.24611000
ALGOBUSD,0.20710000
BTTBUSD,0.00277800
TOMOBUSD,1.78070000
XMRBUSD,170.20000000
ZECBUSD,25.50000000
BNBBULLUSDT,57.21000000
BNBBULLBUSD,58.37000000
BNBBEARUSDT,58.61000000
BNBBEARBUSD,57.21000000
STPTBNB,0.00067000
STPTBTC,0.00000110
STPTUSDT,0.07513000
BTCZAR,1327842.00000000
ETHZAR,76036.00000000
BNBZAR,5000.00000000
USDTZAR,19.41000000
BUSDZAR,18.85000000
BTCBKRW,42029197.00000000
ETHBKRW,1277799.00000000
BNBBKRW,44687.00000000
WTCUSDT,0.01030000
DATABUSD,0.02344000
DATAUSDT,0.09100000
XZCUSDT,4.44600000
SOLBNB,0.30010000
SOLBTC,0.00213550
SOLUSDT,146.11000000
SOLBUSD,74.62000000
BTCIDRT,693891182.00
BNBIDRT,4286985.00
USDTIDRT,15748.00
BUSDIDRT,14389.00
CTSIBTC,0.00000561
CTSIUSDT,0.38440000
CTSIBNB,0.00079830
CTSIBUSD,0.16420000
HIVEBNB,0.00429000
HIVEBTC,0.00000636
